Event,SwimmerName,Time,Cut
50 Free,Jordan Crooks,17.85,A
50 Free,Josh Liendo,18.26,A
50 Free,Gui SANTOS,18.42,A
50 Free,Ilya Kharun,18.51,A
50 Free,Chris Guiliano,18.61,A
50 Free,Quintin McCarty,18.63,A
50 Free,Jonny Kulow,18.64,A
50 Free,Jere Hribar,18.65,A
50 Free,Connor Foote,18.67,A
50 Free,Jack Alexy,18.71,A
100 Free,Jordan Crooks,40.26,A
100 Free,Josh Liendo,40.45,A
100 Free,Gui SANTOS,40.85,A
100 Free,Jonny Kulow,40.97,A
100 Free,Ilya Kharun,41.03,A
100 Free,Chris Guiliano,41.13,A
100 Free,Jack Alexy,41.19,A
100 Free,Remi FABIANI,41.23,A
100 Free,Jere Hribar,41.25,A
100 Free,Julian Smith,41.34,A
200 Free,Jordan Crooks,90.00,A
200 Free,Luke Hobson,90.23,A
200 Free,Chris Guiliano,90.31,A
200 Free,Charlie Hawke,90.44,A
200 Free,Tomas Koski,90.70,A
200 Free,Tomas Navikonis,91.01,A
200 Free,Alexander Painter,91.13,A
500 Free,Rex Maurer,244.45,A
500 Free,Noah Millard,247.68,A
500 Free,Tomas Koski,248.25,A
500 Free,Jake Magahey,248.61,A
500 Free,Lucas Henveaux,248.83,A
500 Free,David Johnston,249.41,A
500 Free,Charlie Hawke,249.75,A
500 Free,Gabriel Jett,250.27,A
100 Back,Jonny Marshall,43.73,A
100 Back,Will Modglin,43.91,A
100 Back,Hubert KOS,44.03,A
100 Back,Owen McDonald,44.38,A
200 Back,Jonny Marshall,95.85,A
200 Back,Hubert KOS,96.10,A
200 Back,Owen McDonald,97.15,A
200 Back,Gabriel Jett,97.19,A
200 Back,Will Modglin,97.84,A
200 Back,Luca Urlando,98.18,A
200 Back,Destin Lasco,98.21,A
200 Back,Rex Maurer,98.27,A
200 Back,David King,98.36,A
200 Back,Michel Arkhangelskiy,98.50,A
200 Back,Oleksandr ZHELTYAKOV,98.78,A
100 Breast,Julian Smith,49.51,A
100 Breast,Finn Brooks,49.94,A
100 Breast,Nate Germonprez,50.14,A
100 Breast,Jack Kelly,50.60,A
100 Breast,Denis PETRASHOV,50.62,A
100 Breast,Brian Benzing,50.73,A
100 Breast,Carles COLL MARTI,50.78,A
100 Breast,Yamato Okadome,50.87,A
100 Breast,Josh Matheny,50.94,A
100 Breast,Caspar Corbeau,50.97,A
100 Breast,Ron Polonsky,50.99,A
200 Breast,Matt Fallon,108.85,A
200 Breast,Carles COLL MARTI,109.62,A
200 Breast,Jack Kelly,109.80,A
200 Breast,Josh Matheny,109.83,A
200 Breast,Jassen Yep,109.93,A
200 Breast,Aleksas Savickas,110.02,A
200 Breast,Yamato Okadome,110.19,A
200 Breast,Denis PETRASHOV,110.35,A
200 Breast,Nate Germonprez,110.55,A
100 Fly,Josh Liendo,43.23,A
100 Fly,Luca Urlando,43.62,A
100 Fly,Jordan Crooks,43.77,A
100 Fly,Ilya Kharun,43.85,A
100 Fly,Hubert KOS,44.05,A
100 Fly,Andrei Minakov,44.27,A
100 Fly,Scotty Buff,44.28,A
100 Fly,Tyler Ray,44.28,A
100 Fly,Connor Foote,44.34,A
100 Fly,Michel Arkhangelskiy,44.36,A
100 Fly,Spencer Nicholas,44.41,A
200 Fly,Luca Urlando,97.17,A
200 Fly,Ilya Kharun,98.74,A
200 Fly,Andrei Minakov,99.03,A
200 Fly,Josh Liendo,99.14,A
200 Fly,Martin Espernberger,99.34,A
200 Fly,Dare Rose,99.47,A
200 Fly,Colin Geer,99.58,A
200 Fly,Jake Magahey,99.91,A
200 IM,Julian Smith,99.38,A
200 IM,Owen McDonald,99.89,A
200 IM,Gal COHEN GROUMI,100.34,A
200 IM,Hubert KOS,100.51,A
200 IM,Luke Barr,100.62,A
200 IM,Will Modglin,100.64,A
200 IM,Colin Geer,100.65,A
400 IM,Rex Maurer,214.19,A
400 IM,Tristan Jankovics,215.51,A
400 IM,Baylor Nelson,217.47,A
400 IM,Jake Magahey,217.89,A
1650 Free,David Johnston,866.00,A
1650 Free,Lucas Henveaux,869.74,A
1650 Free,Rex Maurer,870.47,A
1650 Free,Levi Sandidge,870.61,A
1650 Free,Owen Lloyd,871.64,A
1650 Free,Noah Millard,873.47,A
1650 Free,Liam Custer,876.44,A
