Name,Event,Time
Jordan Crooks,,17.85
Josh Liendo,,40.45
Luke Hobson,,90.23
Rex Maurer,,244.45
Jonny Marshall,,43.73
Hubert KOS,,96.10
Julian Smith,,49.51
Matt Fallon,,108.85
Luca Urlando,,43.62
Ilya Kharun,,98.74
Owen McDonald,,99.89
Tristan Jankovics,,215.51
David Johnston,,866.00
Gui SANTOS,,18.42
Jonny Kulow,,40.97
Chris Guiliano,,90.31
Noah Millard,,247.68
Will Modglin,,43.91
Gabriel Jett,,97.19
Finn Brooks,,49.94
Carles COLL MARTI,,109.62
Andrei Minakov,,44.27
Martin Espernberger,,99.34
Gal COHEN GROUMI,,100.34
Baylor Nelson,,217.47
Lucas Henveaux,,869.74
Quintin McCarty,,18.63
Jack Alexy,,41.19
Charlie Hawke,,90.44
Tomas Koski,,248.25
Michel Arkhangelskiy,,44.49
Destin Lasco,,98.21
Nate Germonprez,,50.14
Jack Kelly,,109.80
Scotty Buff,,44.28
Dare Rose,,99.47
Luke Barr,,100.62
Jake Magahey,,217.89
Levi Sandidge,,870.61
Jere Hribar,,18.65
Remi FABIANI,,41.23
Tomas Navikonis,,91.01
Coby Carrozza,,250.70
Johnny Crush,,44.53
David King,,98.36
Denis PETRASHOV,,50.62
Josh Matheny,,109.83
Tyler Ray,,44.28
Colin Geer,,99.58
Daniel Diehl,,101.39
Gio Linscheer,,218.46
Owen Lloyd,,871.64
Connor Foote,,18.67
Kaii Winkler,,41.39
Alexander Painter,,91.13
Jake Mitchell,,250.72
Harrison Lierz,,44.76
Oleksandr ZHELTYAKOV,,98.78
Brian Benzing,,50.73
Jassen Yep,,109.93
Spencer Nicholas,,44.41
Seb Lunak,,100.12
Danny Schmidt,,101.42
Cooper Lucas,,219.02
Liam Custer,,876.44
Matthew Klinge,,18.78
Patrick Sammon,,41.39
Henry McFadden,,91.30
Carson Hick,,250.89
Max Wilson,,44.82
Pietro Ubertalli,,98.99
Yamato Okadome,,50.87
Aleksas Savickas,,110.02
Nick Finch,,44.57
Bjorn Kammann,,100.18
Mitchell Schott,,101.44
Tommy Bried,,219.28
Zalán Sarkany,,877.49
Tai Torepe-Ormsby,,18.81
Tomas Lukminas,,41.56
Ralph DALEIDEN,,91.48
Mason Mathias,,251.03
Evan Petty,,44.97
Kai Van Westering,,99.24
Caspar Corbeau,,50.97
Jake Eccleston,,111.03
Mario Molla Yanes,,44.63
Logan Robinson,,100.34
Camden Taylor,,101.58
Mason Laur,,219.32
Lance Norris,,878.69
Lamar Taylor,,18.82
Brendan Whitfield,,41.60
Patrick Hussey,,91.68
Jovan Lekic,,252.26
Jack Wadsworth,,45.01
Miroslav Knedla,,99.26
Ron Polonsky,,50.99
Will Scholtz,,111.04
Youssef Ramadan,,44.68
Frank Applebaum,,100.39
Berke Saka,,101.70
Lorne Wigginton,,219.76
Daniel Matheson,,883.46
Jerry Fox,,18.83
Andres Dupont,,41.72
Kaique Alves,,91.78
Tyler Kopp,,252.46
Kyle Peck,,45.02
Nate Stoffle,,99.36
Matvei Namakonov,,51.16
Hank Rivers,,111.23
Tomer Frankel,,44.74
Jacob Johnson,,100.47
Chris Morris,,101.78
Eric Brown,,219.89
Mert Kilavuz,,884.90
Bjorn Seeliger,,18.86
Matt King,,41.73
Murilo STEIN SARTORI,,91.87
Manning Haskal,,252.69
Ruard Van Renen,,45.03
Cornelius Jahn,,99.50
Kohen Rankin,,51.26
Ben Delmar,,111.29
Luke Miller,,44.86
David Schmitt,,100.52
Louis Dramm,,101.84
Drew Hitchcock,,219.98
Jackson Huckabay,,885.18
Tommy Palmer,,18.87
Matt Jensen,,41.77
Robin Hanson,,91.87
Eduardo Oliveira Moraes,,252.72
Aaron Sequeira,,45.06
Joshua Zuchowski,,99.71
Zhier Fan,,51.28
Toby Barnett,,111.73
PJ Foy,,44.91
Haakon Naughton,,100.55
Ben Sampson,,101.88
Kyle Ponsler,,220.05
Leonardo Alcantara,,885.45
