Event,SwimmerName,Time,Cut
50 Free,Jordan Crooks,17.85,NCAA A
50 Free,Josh Liendo,18.26,NCAA A
50 Free,Gui SANTOS,18.42,NCAA A
50 Free,Ilya Kharun,18.51,NCAA A
50 Free,Chris Guiliano,18.61,NCAA A
50 Free,Quintin McCarty,18.63,NCAA A
50 Free,Jonny Kulow,18.64,NCAA A
50 Free,Jere Hribar,18.65,NCAA A
50 Free,Connor Foote,18.67,NCAA A
50 Free,Jack Alexy,18.71,NCAA A
50 Free,Scotty Buff,18.73,USNTL
50 Free,Matthew Klinge,18.78,USNTL
50 Free,Alexander Painter,18.80,USNTL
50 Free,Tai Torepe-Ormsby,18.81,NCAA B
50 Free,Lamar Taylor,18.82,USNTL
50 Free,Remi FABIANI,18.82,NCAA B
50 Free,Jerry Fox,18.83,USNTL
50 Free,Tyler Ray,18.83,USNTL
50 Free,Bjorn Seeliger,18.86,NCAA B
50 Free,Tommy Palmer,18.87,NCAA B
50 Free,Brendan Whitfield,18.89,USNTL
50 Free,Matt King,18.92,USNTL
50 Free,Drew Salls,18.96,USNTL
50 Free,Daniel Baltes,18.96,USNTL
50 Free,Ben Scholl,18.97,USNTL
50 Free,Mario McDonald,18.97,USNTL
50 Free,Karol Ostrowski,18.99,NCAA B
50 Free,Julian Smith,19.00,USNTL
50 Free,Luke Nebrich,19.02,NCAA B
50 Free,Ed Fullum-Huot,19.02,USNTL
50 Free,Nikoli Blackman,19.05,USNTL
50 Free,Sam Bork,19.06,NCAA B
50 Free,Logan Tirheimer,19.06,NCAA B
50 Free,Bence Szabados,19.06,USNTL
50 Free,Mikkel LEE,19.07,USNTL
50 Free,Nick Finch,19.07,NCAA B
50 Free,Martin KARTAVI,19.08,USNTL
50 Free,Tolu Young,19.09,NCAA B
50 Free,Youssef Ramadan,19.10,USNTL
50 Free,Matej Duša,19.11,USNTL
50 Free,Finn Brooks,19.12,USNTL
50 Free,Lucca Battaglini,19.15,NCAA B
50 Free,Luke Barr,19.15,USNTL
50 Free,Jack Aikins,19.18,USNTL
